,Transljteratjon,Translation
0, d .j n .k tp .k ,Let me place your head for you .
1,Dj .j n .f jr .tj .f j ,Let me give him his eyes .
2, Dj .n n .k gbb jr .tj .kj Htp .k ,Geb has given you your eyes precisely that you be satisfied .
3, d n .f tp .f jr .f ,Place his head on him for him!
4,smsA n .f sw r .f ,Cause it to be brought to him for him!
5, wp n .k rA .k m xpx jr .t Hr,"Your mouth has been opened for you even with the Khepekh, the eye of Horus ."
6, hA Ne. ,O Neferkare .
7, Hr j .wn rA nj Ne. pn ,"Horus, open the mouth of Neferkare!"
8,jn .n .j n .k sA .k mrr .w .k wp rA .k,"I have brought you your son beloved of you, the opener of your mouth ."
9,jT n .k msDD .w W. nb .w,Take all who hate Unas!
10, jT xftj nj n .t n wsjr ,Take the enemy of Neith to Osiris!
11,a kA .k m bAH .k ,The arm of your Ka is before you .
12, m n .k jr .t Hr xr .k,Take the eye of Horus to you!
13, jm jr .t Hr ,Take the eye of Horus!
14,Dj .n n .k Hr jr .t .f ,To you has Horus given his eye .
15,jqw .n .j jn .j n .k jr .t Hr ,"I have come, even bringing you the eye of Horus ."
16, Htm kw m jr .t Hr ,Provide yourself with the eye of Horus!
17, mH .n kw Hr m jr .t .f tm .tj,With his eye has Horus filled you completely .
18, qbH .k jpn wsjr qbH .k jpn hA W. pr .w xr sA .k pr .w xr Hr,"This libation of yours, O Osiris, this libation of yours, O Unas, which went forth because of your son, which went forth because of Horus!"
19,m n .k qbH .k jpn ,Take this your libation!
20, j .dp .k dp .t .f xntj sH .w nTr,May you taste the taste of it before the god’s booths .
21, nTrw .k nTrw Hr nTrw .k nTrw stS nTrw .k nTrw DHw .tj nTrw .k nTrw dwn an .wj ,"Your purification is the purification of Horus, of Seth, of Thoth, of Dun’anwi ."
22, snTr .k snTr Hr ,Your censing is the censing of Horus .
23, j .smn .j n .k ar .tj .kj psS .tj ,"Let me establish your jaws for you, with the result that they are parted ."
24, wp .j n .k rA .k ,Let me open your mouth for you .
25, m n .k jr .t Hr s .t .f r .s ,"Take the eye of Horus, to which he went!"
26,m n .k Sjk .w wsjr ,Take the Shik fruit of Osiris!
27, jm tp nj mnnD nj Hr nj D .t .f ,Take the tip of Horus’s own breast!
28, jm mnD sn .t .k As .t bsA .t ,"Take the breast of your sister Isis, the nursing one!"
29,jm jr .tj Hr km .t HD .t ,"Take the eyes of Horus, black and white!"
30, Htp n .k ra jmj P.t ,Re who is in the sky is satisfied with you .
31, m n .k jbH .w Hr HD .w Htm .w rA .k ,"Take the white teeth of Horus, which provide your mouth!"
32,Htp Dj nj sw .t n kA nj W.,The offering given of the king for the Ka of Unas .
33, m n .k jr .t Hr pA .t .k ,"Take the eye of Horus, your Pat cake!"
34,m n .k jr .t Hr hp .t m a stS,"Take the eye of Horus, which was recovered from Seth!"
35,wp .j rA .k,Let me open your mouth .
36, m n .k Hnq pr jm .k,Take the outflow which came forth from you!
37, nj kA W. x .t nb .t,What belongs to the Ka of Unas is everything .
38, m n .k jr .t Hr dp .jt .k,"Take the eye of Horus, which you are to taste!"
39,AHAH .j kk .j,"O one brought under the earth, O dark one!"
40, m n .k jr .t Hr sxn .tj .k ,"Take the eye of Horus, which you should seek!"
41, m n .k jr .t Hr hp .t m a stS nHm .t n .k ,"Take the eye of Horus, which was recovered from Seth, which was wrested away for you!"
42,m n .k Hnq pr m wsjr ,Take the outflow which went forth from Osiris!
43, m n .k jr .t Hr nHm .t n .k,"Take the eye of Horus, which was wrested away for you!"
44, m n .k jr .t Hr ,Take the eye of Horus!
45, jm bxr .n .sn jm,Take that by which they Bekher’ed .
46, jm snj rDj .ty n .k ,"Take them, that which is given to you!"
47, jn .n .j n .k jr .tj Hr ,To you have I brought the eyes of Horus .
48, d .n .j snj n .k,To you have I given them .
49, nDr n .k snj ,Take hold of them!
